Name
Derrick Lewis
Curtis Blaydes
Marcin Tybura
Alexander Volkov
Tai Tuivasa
Ryan Spann
Sergei Pavlovich
Kennedy Nzechukwu
Serghei Spivac
Ciryl Gane
Justin Tafa
Tom Aspinall
Chris Barnett
Jailton Almeida
Hamdy Abdelwahab
Waldo Cortes-Acosta
Junior Tafa
Austen Lane
Jhonata Diniz
Dustin Jacoby
Nikita Krylov
Jan Błachowicz
Ion Cuțelaba
Khalil Rountree Jr.
Paul Craig
Volkan Oezdemir
Dominick Reyes
Aleksandar Rakić
Marcin Prachnio
Magomed Ankalaev
Johnny Walker
Jimmy Crute
Alonzo Menifield
Jamahal Hill
Jiří Procházka
Modestas Bukauskas
Carlos Ulberg
Alex Pereira
Azamat Murzakanov
Vitor Petrino
Bogdan Guskov
Zhang Mingyang
Brad Tavares
Robert Whittaker
Kelvin Gastelum
Sean Strickland
Jared Cannonier
Marvin Vettori
Jack Hermansson
Gerald Meerschaert
Paulo Costa
Eryk Anders
Michał Oleksiejczuk
Israel Adesanya
Edmen Shahbazyan
Anthony Hernandez
Ismail Naurdiev
Marc-André Barriault
Michel Pereira
Rodolfo Vieira
Jun Yong Park
Brendan Allen
Roman Kopylov
André Muniz
Khamzat Chimaev
Roman Dolidze
Nassourdine Imavov
Duško Todorović
Dricus du Plessis
Jacob Malkoun
Dustin Stoltzfus
Gregory Rodrigues
Andre Petroski
Cody Brundage
Chris Curtis
Caio Borralho
Joe Pyfer
Bo Nickal
Ikram Aliskerov
Nursulton Ruziboev
Sharabutdin Magomedov
Michael Page
César Almeida
Reinier de Ridder
Rafael dos Anjos
Court McGee
Stephen Thompson
Tim Means
Michael Chiesa
Gunnar Nelson
Neil Magny
Santiago Ponzinibbio
Li Jingliang
Jake Matthews
Gilbert Burns
Colby Covington
Leon Edwards
Elizeu Zaleski dos Santos
Nicolas Dalby
Vicente Luque
Kamaru Usman
Alex Morono
Randy Brown
Mickey Gall
Belal Muhammad
Max Griffin
Niko Price
Trevin Giles
Song Kenan
Muslim Salikhov
Geoff Neal
Kevin Holland
Wellington Turman
Sean Brady
Punahele Soriano
Khaos Williams
Joaquin Buckley
Daniel Rodriguez
Shavkat Rakhmonov
Ramiz Brahimaj
Philip Rowe
Uroš Medić
Carlston Harris
Jeremiah Wells
Bryan Battle
Ian Machado Garry
Jack Della Maddalena
Michael Morales
Chidi Njokuani
Mike Malott
Rinat Fakhretdinov
Themba Gorimbo
Carlos Prates
Austin Vanderford
Jim Miller
Charles Oliveira
Dustin Poirier
Michael Johnson
King Green
Drew Dober
Kurt Holobaugh
Beneil Dariush
Dan Hooker
Carlos Diego Ferreira
Renato Moicano
Islam Makhachev
Joaquim Silva
Damir Hadžović
Claudio Puelles
Drakkar Klose
Jared Gordon
Justin Gaethje
Lando Vannata
Nasrat Haqparast
Matt Frevola
Alexander Hernandez
Thiago Moisés
Sodiq Yusuff
Joel Álvarez
Grant Dawson
Rafael Fiziev
Arman Tsarukyan
Mike Davis
Austin Hubbard
Farès Ziam
Jamie Mullarkey
Ottman Azaitar
Brad Riddell
Chase Hooper
Gabriel Green
Jai Herbert
Ľudovít Klein
Ilia Topuria
Mateusz Gamrot
Jordan Leavitt
Michael Chandler
Rafa García
Ignacio Bahamondes
Rong Zhu
Kyle Prepolec
Terrance McKinney
Paddy Pimblett
Benoît Saint Denis
Manuel Torres
Daniel Zellhuber
Anshul Jubli
Nazim Sadykhov
Maurício Ruffy
Tofiq Musayev
Cub Swanson
Darren Elkins
Edson Barboza
Max Holloway
Andre Fili
Aljamain Sterling
Brian Ortega
Yair Rodríguez
Choi Doo-ho
Arnold Allen
Josh Emmett
Alexander Volkanovski
Ricardo Ramos
Aiemann Zahabi
Gavin Tucker
Calvin Kattar
Dan Ige
Nathaniel Wood
Bryce Mitchell
Julian Erosa
Chris Gutiérrez
Kyle Nelson
Movsar Evloev
Lerone Murphy
Miles Johns
Giga Chikadze
Sean Woodson
Billy Quarantillo
Nate Landwehr
Youssef Zalal
Steve Garcia
Jamall Emmers
John Castañeda
Pat Sabatini
Shayilan Nuerdanbieke
Melsik Baghdasaryan
Jeka Saragih
Farid Basharat
Diego Lopes
Muhammad Naimov
Jean Silva
Hyder Amil
Patrício Pitbull
Rani Yahya
Tim Elliott
Davey Grant
Douglas Silva de Andrade
Cody Gibson
Pedro Munhoz
Rob Font
Marlon Vera
Henry Cejudo
Cody Garbrandt
Deiveson Figueiredo
Song Yadong
Sean O'Malley
Merab Dvalishvili
Cory Sandhagen
Ricky Simón
Raoni Barcelos
Petr Yan
Said Nurmagomedov
Montel Jackson
Jonathan Martinez
Vince Morales
Mario Bautista
Charles Jourdain
Alateng Heili
Kyler Phillips
Adrian Yañez
Cody Durden
Umar Nurmagomedov
Aori Qileng
Victor Henry
Javid Basharat
Cameron Saaiman
Daniel Marcos
Rinya Nakamura
Patchy Mix
Brandon Moreno
Alexandre Pantoja
Su Mudaerji
Alex Perez
Kai Kara-France
Bruno Gustavo da Silva
Ode' Osbourne
Brandon Royval
Amir Albazi
Tagir Ulanbekov
Manel Kape
Tatsuro Taira
Charles Johnson
Steve Erceg
Asu Almabayev
Kai Asakura
Miesha Tate
Julianna Peña
Raquel Pennington
Ketlen Vieira
Irene Aldana
Priscila Cachoeira
Yana Santos
Macy Chiasson
Karol Rosa
Norma Dumont
Joselyne Edwards
Melissa Gatto
Josiane Nunes
Ailín Pérez
Chelsea Chandler
Jacqueline Cavalcanti
Nora Cornolle
Kayla Harrison
Jéssica Andrade
Rose Namajunas
Maryna Moroz
Valentina Shevchenko
Katlyn Cerminara
Veronica Hardy
Alexa Grasso
JJ Aldrich
Mayra Bueno Silva
Maycee Barber
Julija Stoliarenko
Viviane Araújo
Luana Carolina
Tracy Cortez
Miranda Maverick
Manon Fiorot
Casey O'Neill
Erin Blanchfield
Karine Silva
Natália Silva
Brogan Walker
Wang Cong
Tecia Pennington
Angela Hill
Karolina Kowalkiewicz
Tatiana Suarez
Amanda Lemos
Yan Xiaonan
Gillian Robertson
Polyana Viana
Mackenzie Dern
Zhang Weili
Virna Jandiroba
Amanda Ribas
Mizuki Inoue
Ariane Carnelossi
Loma Lookboonmee
Sam Hughes
Montserrat Ruiz
Loopy Godinez
Luana Pinheiro
Tabatha Ricci
Elise Reed
Vanessa Demopoulos
Yazmin Jauregui
Denise Gomes
Ketlen Souza
Talita Alencar
Rayanne dos Santos
